variant_code,product_code,sku,unit_code,packaging_size,is_default,is_sell_default
P002681-V2,P002681,00030137,UNIT000003,3 Vỉ x 10 Viên,true,false
P002681-V3,P002681,00030137,UNIT000008,10 Viên,true,false
P002682-V1,P002682,00030144,UNIT000001,Hộp 2 Vỉ x 10 Viên,true,true
P002682-V2,P002682,00030144,UNIT000003,2 Vỉ x 10 Viên,true,false
P002682-V3,P002682,00030144,UNIT000008,10 Viên,true,false
P002683-V1,P002683,00030155,UNIT000001,Hộp 2 Vỉ x 14 Viên,true,true
P002683-V2,P002683,00030155,UNIT000003,2 Vỉ x 14 Viên,true,false
P002683-V3,P002683,00030155,UNIT000008,14 Viên,true,false
P002684-V1,P002684,00030156,UNIT000001,Hộp 3 Vỉ x 10 Viên,true,true
P002684-V2,P002684,00030156,UNIT000003,3 Vỉ x 10 Viên,true,false
P002684-V3,P002684,00030156,UNIT000008,10 Viên,true,false
P002685-V1,P002685,00030157,UNIT000001,Hộp 3 Vỉ x 10 Viên,true,false
P002685-V2,P002685,00030157,UNIT000003,3 Vỉ x 10 Viên,true,false
P002685-V3,P002685,00030157,UNIT000008,10 Viên,true,true
P002686-V1,P002686,00030196,UNIT000001,Hộp 10 Vỉ x 10 Viên,true,true
P002686-V2,P002686,00030196,UNIT000003,10 Vỉ x 10 Viên,true,false
P002686-V3,P002686,00030196,UNIT000008,10 Viên,true,false
P002687-V1,P002687,00030359,UNIT000001,Hộp 30 Viên,true,true
P002687-V2,P002687,00030359,UNIT000008,30 Viên,true,false
P002688-V1,P002688,00030350,UNIT000001,Hộp 2 Vỉ x 15 Viên,true,false
P002688-V2,P002688,00030350,UNIT000003,2 Vỉ x 15 Viên,true,false
P002688-V3,P002688,00030350,UNIT000008,15 Viên,true,true
P002689-V1,P002689,00030379,UNIT000001,Hộp 10 Vỉ x 10 Viên,true,false
P002689-V2,P002689,00030379,UNIT000003,10 Vỉ x 10 Viên,true,false
P002689-V3,P002689,00030379,UNIT000008,10 Viên,true,true
P002690-V1,P002690,00030402,UNIT000001,Hộp 5 Vỉ x 10 Viên,true,false
P002690-V2,P002690,00030402,UNIT000003,5 Vỉ x 10 Viên,true,false
P002690-V3,P002690,00030402,UNIT000008,10 Viên,true,true
P002691-V1,P002691,00030717,UNIT000001,Hộp 3 Vỉ x 10 Viên,true,false
P002691-V2,P002691,00030717,UNIT000003,3 Vỉ x 10 Viên,true,false
P002691-V3,P002691,00030717,UNIT000008,10 Viên,true,true
P002692-V1,P002692,00030799,UNIT000001,Hộp 3 Vỉ x 10 Viên,true,false
P002692-V2,P002692,00030799,UNIT000003,3 Vỉ x 10 Viên,true,false
P002692-V3,P002692,00030799,UNIT000008,10 Viên,true,true
P002693-V1,P002693,00030897,UNIT000001,Hộp 3 Vỉ x 10 Viên,true,false
P002693-V2,P002693,00030897,UNIT000003,3 Vỉ x 10 Viên,true,false
P002693-V3,P002693,00030897,UNIT000008,10 Viên,true,true
P002694-V1,P002694,00030929,UNIT000001,Hộp 1 Vỉ x 30 Viên,true,true
P002694-V2,P002694,00030929,UNIT000003,1 Vỉ x 30 Viên,true,false
P002694-V3,P002694,00030929,UNIT000008,30 Viên,true,false
P002695-V1,P002695,00030934,UNIT000001,Hộp 2 Vỉ x 15 Viên,true,true
P002695-V2,P002695,00030934,UNIT000003,2 Vỉ x 15 Viên,true,false
P002695-V3,P002695,00030934,UNIT000008,15 Viên,true,false
P002696-V1,P002696,00030926,UNIT000001,Hộp 3 Vỉ x 10 Viên,true,false
P002696-V2,P002696,00030926,UNIT000003,3 Vỉ x 10 Viên,true,false
P002696-V3,P002696,00030926,UNIT000008,10 Viên,true,true
P002697-V1,P002697,00030933,UNIT000001,Hộp 3 Vỉ x 10 Viên,true,false
P002697-V2,P002697,00030933,UNIT000003,3 Vỉ x 10 Viên,true,false
P002697-V3,P002697,00030933,UNIT000008,10 Viên,true,true
P002698-V1,P002698,00030985,UNIT000001,Hộp 3 Vỉ x 10 Viên,true,false
P002698-V2,P002698,00030985,UNIT000003,3 Vỉ x 10 Viên,true,false
P002698-V3,P002698,00030985,UNIT000008,10 Viên,true,true
P002699-V1,P002699,00030992,UNIT000001,Hộp 3 Vỉ x 10 Viên,true,false
P002699-V2,P002699,00030992,UNIT000003,3 Vỉ x 10 Viên,true,false
P002699-V3,P002699,00030992,UNIT000008,10 Viên,true,true
P002700-V1,P002700,00031028,UNIT000001,Hộp 3 Vỉ x 10 Viên,true,false
P002700-V2,P002700,00031028,UNIT000003,3 Vỉ x 10 Viên,true,false
P002700-V3,P002700,00031028,UNIT000008,10 Viên,true,true
P002701-V1,P002701,00031015,UNIT000001,Hộp 3 Vỉ x 10 Viên,true,true
P002701-V2,P002701,00031015,UNIT000003,3 Vỉ x 10 Viên,true,false
P002701-V3,P002701,00031015,UNIT000008,10 Viên,true,false
P002702-V1,P002702,00031069,UNIT000001,Hộp 4 Vỉ x 7 Viên,true,true
P002702-V2,P002702,00031069,UNIT000003,4 Vỉ x 7 Viên,true,false
P002702-V3,P002702,00031069,UNIT000008,7 Viên,true,false
P002703-V1,P002703,00031083,UNIT000001,Hộp 4 Vỉ x 7 Viên,true,true
P002703-V2,P002703,00031083,UNIT000003,4 Vỉ x 7 Viên,true,false
P002703-V3,P002703,00031083,UNIT000008,7 Viên,true,false
P002704-V1,P002704,00031213,UNIT000001,Hộp 10 Vỉ x 10 Viên,true,true
P002704-V2,P002704,00031213,UNIT000003,10 Vỉ x 10 Viên,true,false
P002704-V3,P002704,00031213,UNIT000008,10 Viên,true,false
P002705-V1,P002705,00031160,UNIT000001,Hộp 3 Vỉ x 10 Viên,true,true
P002705-V2,P002705,00031160,UNIT000003,3 Vỉ x 10 Viên,true,false
P002705-V3,P002705,00031160,UNIT000008,10 Viên,true,false
P002706-V1,P002706,00031292,UNIT000001,Hộp 3 Vỉ x 10 Viên,true,true
P002706-V2,P002706,00031292,UNIT000003,3 Vỉ x 10 Viên,true,false
P002706-V3,P002706,00031292,UNIT000008,10 Viên,true,false
P002707-V1,P002707,00031280,UNIT000001,Hộp 3 Vỉ x 10 Viên,true,true
P002707-V2,P002707,00031280,UNIT000003,3 Vỉ x 10 Viên,true,false
P002707-V3,P002707,00031280,UNIT000008,10 Viên,true,false
P002708-V1,P002708,00031281,UNIT000001,Hộp 3 Vỉ x 10 Viên,true,true
P002708-V2,P002708,00031281,UNIT000003,3 Vỉ x 10 Viên,true,false
P002708-V3,P002708,00031281,UNIT000008,10 Viên,true,false
P002709-V1,P002709,00031260,UNIT000001,Hộp 5 Vỉ x 10 Viên,true,false
P002709-V2,P002709,00031260,UNIT000003,5 Vỉ x 10 Viên,true,false
P002709-V3,P002709,00031260,UNIT000008,10 Viên,true,true
P002710-V1,P002710,00031354,UNIT000001,Hộp 10 Vỉ x 10 Viên,true,false
P002710-V2,P002710,00031354,UNIT000003,10 Vỉ x 10 Viên,true,false
P002710-V3,P002710,00031354,UNIT000008,10 Viên,true,true
P002711-V1,P002711,00031324,UNIT000001,Hộp 4 Vỉ x 7 Viên,true,false
P002711-V2,P002711,00031324,UNIT000003,4 Vỉ x 7 Viên,true,false
P002711-V3,P002711,00031324,UNIT000008,7 Viên,true,true
P002712-V1,P002712,00031506,UNIT000001,Hộp 1 Vỉ x 14 Viên,true,false
P002712-V2,P002712,00031506,UNIT000003,1 Vỉ x 14 Viên,true,false
P002712-V3,P002712,00031506,UNIT000008,14 Viên,true,true
P002713-V1,P002713,00031493,UNIT000001,Hộp 3 Vỉ x 10 Viên,true,false
P002713-V2,P002713,00031493,UNIT000003,3 Vỉ x 10 Viên,true,false
P002713-V3,P002713,00031493,UNIT000008,10 Viên,true,true
P002714-V1,P002714,00031509,UNIT000001,Hộp 2 Vỉ x 14 Viên,true,true
P002714-V2,P002714,00031509,UNIT000003,2 Vỉ x 14 Viên,true,false
P002714-V3,P002714,00031509,UNIT000008,14 Viên,true,false
P002715-V1,P002715,00031520,UNIT000001,Hộp 3 Vỉ x 10 Viên,true,true
P002715-V2,P002715,00031520,UNIT000003,3 Vỉ x 10 Viên,true,false
P002715-V3,P002715,00031520,UNIT000008,10 Viên,true,false
P002716-V1,P002716,00031525,UNIT000001,Hộp 3 Vỉ x 10 Viên,true,false
P002716-V2,P002716,00031525,UNIT000003,3 Vỉ x 10 Viên,true,false
P002716-V3,P002716,00031525,UNIT000008,10 Viên,true,true
P002717-V1,P002717,00031910,UNIT000001,Hộp 10 Vỉ x 10 Viên,true,false
P002717-V2,P002717,00031910,UNIT000003,10 Vỉ x 10 Viên,true,false
P002717-V3,P002717,00031910,UNIT000008,10 Viên,true,true
P002718-V1,P002718,00031915,UNIT000001,Hộp 3 Vỉ x 10 Viên,true,true
P002718-V2,P002718,00031915,UNIT000003,3 Vỉ x 10 Viên,true,false
P002718-V3,P002718,00031915,UNIT000008,10 Viên,true,false
P002719-V1,P002719,00031987,UNIT000001,Hộp 1 Vỉ x 14 Viên,true,false
P002719-V2,P002719,00031987,UNIT000003,1 Vỉ x 14 Viên,true,false
P002719-V3,P002719,00031987,UNIT000008,14 Viên,true,true
P002720-V1,P002720,00032331,UNIT000001,Hộp 3 Vỉ x 10 Viên,true,false
P002720-V2,P002720,00032331,UNIT000003,3 Vỉ x 10 Viên,true,false
P002720-V3,P002720,00032331,UNIT000008,10 Viên,true,true
P002721-V1,P002721,00032523,UNIT000001,Hộp 3 Vỉ x 10 Viên,true,true
P002721-V2,P002721,00032523,UNIT000003,3 Vỉ x 10 Viên,true,false
P002721-V3,P002721,00032523,UNIT000008,10 Viên,true,false
P002722-V1,P002722,00032533,UNIT000001,Hộp 3 Vỉ x 10 Viên,true,false
P002722-V2,P002722,00032533,UNIT000003,3 Vỉ x 10 Viên,true,false
P002722-V3,P002722,00032533,UNIT000008,10 Viên,true,true
P002723-V1,P002723,00051278,UNIT000001,Hộp 3 Vỉ x 10 Viên,true,false
P002723-V2,P002723,00051278,UNIT000003,3 Vỉ x 10 Viên,true,false
P002723-V3,P002723,00051278,UNIT000008,10 Viên,true,true
P002724-V1,P002724,00051018,UNIT000001,Hộp 4 Vỉ x 14 Viên,true,false
P002724-V2,P002724,00051018,UNIT000003,4 Vỉ x 14 Viên,true,false
P002724-V3,P002724,00051018,UNIT000008,14 Viên,true,true
P002725-V1,P002725,00050791,UNIT000001,Hộp 4 Vỉ x 7 Viên,true,false
P002725-V2,P002725,00050791,UNIT000003,4 Vỉ x 7 Viên,true,false
P002725-V3,P002725,00050791,UNIT000008,7 Viên,true,true
P002726-V1,P002726,00050790,UNIT000001,Hộp 4 Vỉ x 7 Viên,true,false
P002726-V2,P002726,00050790,UNIT000003,4 Vỉ x 7 Viên,true,false
P002726-V3,P002726,00050790,UNIT000008,7 Viên,true,true
P002727-V1,P002727,00050789,UNIT000001,Hộp 4 Vỉ x 7 Viên,true,false
P002727-V2,P002727,00050789,UNIT000003,4 Vỉ x 7 Viên,true,false
P002727-V3,P002727,00050789,UNIT000008,7 Viên,true,true
P002728-V1,P002728,00050701,UNIT000001,Hộp 3 Vỉ x 10 Viên,true,false
P002728-V2,P002728,00050701,UNIT000003,3 Vỉ x 10 Viên,true,false
P002728-V3,P002728,00050701,UNIT000008,10 Viên,true,true
P002729-V1,P002729,00050700,UNIT000001,Hộp 3 Vỉ x 10 Viên,true,false
P002729-V2,P002729,00050700,UNIT000003,3 Vỉ x 10 Viên,true,false
P002729-V3,P002729,00050700,UNIT000008,10 Viên,true,true
P002730-V1,P002730,00050105,UNIT000001,Hộp 10 Vỉ x 10 Viên,true,false
P002730-V2,P002730,00050105,UNIT000003,10 Vỉ x 10 Viên,true,false
P002730-V3,P002730,00050105,UNIT000008,10 Viên,true,true
P002731-V1,P002731,00050102,UNIT000001,Hộp 10 Vỉ x 10 Viên,true,false
P002731-V2,P002731,00050102,UNIT000003,10 Vỉ x 10 Viên,true,false
P002731-V3,P002731,00050102,UNIT000008,10 Viên,true,true
P002732-V1,P002732,00050072,UNIT000001,Hộp 10 Vỉ x 10 Viên,true,false
P002732-V2,P002732,00050072,UNIT000003,10 Vỉ x 10 Viên,true,false
P002732-V3,P002732,00050072,UNIT000008,10 Viên,true,true
P002733-V1,P002733,00049527,UNIT000001,Hộp 3 Vỉ x 10 Viên,true,false
P002733-V2,P002733,00049527,UNIT000003,3 Vỉ x 10 Viên,true,false
P002733-V3,P002733,00049527,UNIT000008,10 Viên,true,true
P002734-V1,P002734,00049512,UNIT000001,Hộp 10 Vỉ x 10 Viên,true,false
P002734-V2,P002734,00049512,UNIT000003,10 Vỉ x 10 Viên,true,false
P002734-V3,P002734,00049512,UNIT000008,10 Viên,true,true
P002735-V1,P002735,00049296,UNIT000001,Hộp 4 Vỉ x 7 Viên,true,false
P002735-V2,P002735,00049296,UNIT000003,4 Vỉ x 7 Viên,true,false
P002735-V3,P002735,00049296,UNIT000008,7 Viên,true,true
P002736-V1,P002736,00049254,UNIT000001,Hộp 5 Vỉ x 10 Viên,true,false
P002736-V2,P002736,00049254,UNIT000003,5 Vỉ x 10 Viên,true,false
P002736-V3,P002736,00049254,UNIT000008,10 Viên,true,true
P002737-V1,P002737,00048132,UNIT000001,Hộp 6 Vỉ x 10 Viên,true,false
P002737-V2,P002737,00048132,UNIT000003,6 Vỉ x 10 Viên,true,false
P002737-V3,P002737,00048132,UNIT000008,10 Viên,true,true
P002738-V1,P002738,00047877,UNIT000001,Hộp 10 Vỉ x 10 Viên,true,false
P002738-V2,P002738,00047877,UNIT000003,10 Vỉ x 10 Viên,true,false
P002738-V3,P002738,00047877,UNIT000008,10 Viên,true,true
P002739-V1,P002739,00047327,UNIT000001,Hộp 3 Vỉ x 10 Viên,true,false
P002739-V2,P002739,00047327,UNIT000003,3 Vỉ x 10 Viên,true,false
P002739-V3,P002739,00047327,UNIT000008,10 Viên,true,true
P002740-V1,P002740,00046173,UNIT000001,Hộp 10 Vỉ x 10 Viên,true,false
P002740-V2,P002740,00046173,UNIT000003,10 Vỉ x 10 Viên,true,false
P002740-V3,P002740,00046173,UNIT000008,10 Viên,true,true
P002741-V1,P002741,00045792,UNIT000001,Hộp 3 Vỉ x 10 Viên,true,false
P002741-V2,P002741,00045792,UNIT000003,3 Vỉ x 10 Viên,true,false
P002741-V3,P002741,00045792,UNIT000008,10 Viên,true,true
P002742-V1,P002742,00045101,UNIT000001,Hộp 3 Vỉ x 10 Viên,true,false
P002742-V2,P002742,00045101,UNIT000003,3 Vỉ x 10 Viên,true,false
P002742-V3,P002742,00045101,UNIT000008,10 Viên,true,true
P002743-V1,P002743,00045072,UNIT000001,Hộp 3 Vỉ x 10 Viên,true,false
P002743-V2,P002743,00045072,UNIT000003,3 Vỉ x 10 Viên,true,false
P002743-V3,P002743,00045072,UNIT000008,10 Viên,true,true
P002744-V1,P002744,00044657,UNIT000001,Hộp 1 Vỉ x 10 Viên,true,false
P002744-V2,P002744,00044657,UNIT000003,1 Vỉ x 10 Viên,true,false
P002744-V3,P002744,00044657,UNIT000008,10 Viên,true,true
P002745-V1,P002745,00044568,UNIT000001,Hộp 5 Vỉ x 10 Viên,true,false
P002745-V2,P002745,00044568,UNIT000003,5 Vỉ x 10 Viên,true,false
P002745-V3,P002745,00044568,UNIT000008,10 Viên,true,true
P002746-V1,P002746,00044124,UNIT000001,Hộp 6 Vỉ x 10 Viên,true,false
P002746-V2,P002746,00044124,UNIT000003,6 Vỉ x 10 Viên,true,false
P002746-V3,P002746,00044124,UNIT000008,10 Viên,true,true
P002747-V1,P002747,00043311,UNIT000001,Hộp 2 Vỉ x 15 Viên,true,false
P002747-V2,P002747,00043311,UNIT000003,2 Vỉ x 15 Viên,true,false
P002747-V3,P002747,00043311,UNIT000008,15 Viên,true,true
P002748-V1,P002748,00042101,UNIT000001,Hộp 2 Vỉ x 14 Viên,true,false
P002748-V2,P002748,00042101,UNIT000003,2 Vỉ x 14 Viên,true,false
P002748-V3,P002748,00042101,UNIT000008,14 Viên,true,true
P002749-V1,P002749,00041949,UNIT000001,Hộp 1 Vỉ x 14 Viên,true,false
P002749-V2,P002749,00041949,UNIT000003,1 Vỉ x 14 Viên,true,false
P002749-V3,P002749,00041949,UNIT000008,14 Viên,true,true
P002750-V1,P002750,00041860,UNIT000001,Hộp 3 Vỉ x 10 Viên,true,false
P002750-V2,P002750,00041860,UNIT000003,3 Vỉ x 10 Viên,true,false
P002750-V3,P002750,00041860,UNIT000008,10 Viên,true,true
P002751-V1,P002751,00041443,UNIT000001,Hộp 3 Vỉ x 10 Viên,true,true
P002751-V2,P002751,00041443,UNIT000003,3 Vỉ x 10 Viên,true,false
P002751-V3,P002751,00041443,UNIT000008,10 Viên,true,false
P002752-V1,P002752,00040536,UNIT000001,Hộp 3 Vỉ x 10 Viên,true,false
P002752-V2,P002752,00040536,UNIT000003,3 Vỉ x 10 Viên,true,false
P002752-V3,P002752,00040536,UNIT000008,10 Viên,true,true
P002753-V1,P002753,00039641,UNIT000001,Hộp 6 Vỉ x 10 Viên,true,false
P002753-V2,P002753,00039641,UNIT000003,6 Vỉ x 10 Viên,true,false
P002753-V3,P002753,00039641,UNIT000008,10 Viên,true,true
P002754-V1,P002754,00039261,UNIT000001,Hộp 3 Vỉ x 10 Viên,true,false
P002754-V2,P002754,00039261,UNIT000003,3 Vỉ x 10 Viên,true,false
P002754-V3,P002754,00039261,UNIT000008,10 Viên,true,true
P002755-V1,P002755,00038394,UNIT000001,Hộp 10 Vỉ x 10 Viên,true,false
P002755-V2,P002755,00038394,UNIT000003,10 Vỉ x 10 Viên,true,false
P002755-V3,P002755,00038394,UNIT000008,10 Viên,true,true
P002756-V1,P002756,00038326,UNIT000001,Hộp 3 Vỉ x 10 Viên,true,true
P002756-V2,P002756,00038326,UNIT000003,3 Vỉ x 10 Viên,true,false
P002756-V3,P002756,00038326,UNIT000008,10 Viên,true,false
P002757-V1,P002757,00503762,UNIT000001,Hộp 6 Vỉ x 10 Viên,true,false
P002757-V2,P002757,00503762,UNIT000003,6 Vỉ x 10 Viên,true,false
P002757-V3,P002757,00503762,UNIT000008,10 Viên,true,true
P002758-V1,P002758,00503692,UNIT000001,Hộp 3 Vỉ x 10 Viên,true,false
P002758-V2,P002758,00503692,UNIT000003,3 Vỉ x 10 Viên,true,false
P002758-V3,P002758,00503692,UNIT000008,10 Viên,true,true
P002759-V1,P002759,00503691,UNIT000001,Hộp 6 Vỉ x 10 Viên,true,false
P002759-V2,P002759,00503691,UNIT000003,6 Vỉ x 10 Viên,true,false
P002759-V3,P002759,00503691,UNIT000008,10 Viên,true,true
P002760-V1,P002760,00502914,UNIT000001,Hộp 10 Vỉ x 10 Viên,true,false
P002760-V2,P002760,00502914,UNIT000003,10 Vỉ x 10 Viên,true,false
P002760-V3,P002760,00502914,UNIT000008,10 Viên,true,true
P002761-V1,P002761,00502884,UNIT000001,Hộp 3 Vỉ x 10 Viên,true,false
P002761-V2,P002761,00502884,UNIT000003,3 Vỉ x 10 Viên,true,false
P002761-V3,P002761,00502884,UNIT000008,10 Viên,true,true
P002762-V1,P002762,00502870,UNIT000001,Hộp 6 Ống,true,false
P002762-V2,P002762,00502870,UNIT000018,6 Ống,true,true
P002763-V1,P002763,00502236,UNIT000001,Hộp 3 Vỉ x 10 Viên,true,false
P002763-V2,P002763,00502236,UNIT000003,3 Vỉ x 10 Viên,true,false
P002763-V3,P002763,00502236,UNIT000008,10 Viên,true,true
P002764-V1,P002764,00501715,UNIT000001,Hộp 2 Vỉ x 30 Viên,true,false
P002764-V2,P002764,00501715,UNIT000003,2 Vỉ x 30 Viên,true,false
P002764-V3,P002764,00501715,UNIT000008,30 Viên,true,true
P002765-V1,P002765,00501640,UNIT000001,Hộp 10 Vỉ x 10 Viên,true,false
P002765-V2,P002765,00501640,UNIT000003,10 Vỉ x 10 Viên,true,false
P002765-V3,P002765,00501640,UNIT000008,10 Viên,true,true
P002766-V1,P002766,00501376,UNIT000001,Hộp 3 Vỉ x 10 Viên,true,false
P002766-V2,P002766,00501376,UNIT000003,3 Vỉ x 10 Viên,true,false
P002766-V3,P002766,00501376,UNIT000008,10 Viên,true,true
P002767-V1,P002767,00501258,UNIT000001,Hộp 10 Vỉ x 10 Viên,true,false
P002767-V2,P002767,00501258,UNIT000003,10 Vỉ x 10 Viên,true,false
P002767-V3,P002767,00501258,UNIT000008,10 Viên,true,true
P002768-V1,P002768,00501062,UNIT000001,Hộp 3 Vỉ x 10 Viên,true,false
P002768-V2,P002768,00501062,UNIT000003,3 Vỉ x 10 Viên,true,false
P002768-V3,P002768,00501062,UNIT000008,10 Viên,true,true
P002769-V1,P002769,00501013,UNIT000001,Hộp 3 Vỉ x 10 Viên,true,false
P002769-V2,P002769,00501013,UNIT000003,3 Vỉ x 10 Viên,true,false
P002769-V3,P002769,00501013,UNIT000008,10 Viên,true,true
P002770-V1,P002770,00500971,UNIT000001,Hộp 3 Vỉ x 10 Viên,true,false
P002770-V2,P002770,00500971,UNIT000003,3 Vỉ x 10 Viên,true,false
P002770-V3,P002770,00500971,UNIT000008,10 Viên,true,true
P002771-V1,P002771,00500744,UNIT000001,Hộp 3 Vỉ x 10 Viên,true,false
P002771-V2,P002771,00500744,UNIT000003,3 Vỉ x 10 Viên,true,false
P002771-V3,P002771,00500744,UNIT000008,10 Viên,true,true
P002772-V1,P002772,00500227,UNIT000001,Hộp 5 Vỉ x 10 Viên,true,false
P002772-V2,P002772,00500227,UNIT000003,5 Vỉ x 10 Viên,true,false
P002772-V3,P002772,00500227,UNIT000008,10 Viên,true,true
P002773-V1,P002773,00500027,UNIT000001,Hộp 2 Vỉ x 14 Viên,true,false
P002773-V2,P002773,00500027,UNIT000003,2 Vỉ x 14 Viên,true,false
P002773-V3,P002773,00500027,UNIT000008,14 Viên,true,true
P002774-V1,P002774,00033845,UNIT000001,Hộp 4 Vỉ x 14 Viên,true,true
P002774-V2,P002774,00033845,UNIT000003,4 Vỉ x 14 Viên,true,false
P002774-V3,P002774,00033845,UNIT000008,14 Viên,true,false
P002775-V1,P002775,00033380,UNIT000001,Hộp 3 Vỉ x 10 Viên,true,false
P002775-V2,P002775,00033380,UNIT000003,3 Vỉ x 10 Viên,true,false
P002775-V3,P002775,00033380,UNIT000008,10 Viên,true,true
P002776-V1,P002776,00033081,UNIT000001,Hộp 10 Vỉ x 10 Viên,true,true
P002776-V2,P002776,00033081,UNIT000003,10 Vỉ x 10 Viên,true,false
P002776-V3,P002776,00033081,UNIT000008,10 Viên,true,false
P002777-V1,P002777,00005564,UNIT000001,Hộp 5 Vỉ x 10 Viên,true,true
P002777-V2,P002777,00005564,UNIT000003,5 Vỉ x 10 Viên,true,false
P002777-V3,P002777,00005564,UNIT000008,10 Viên,true,false
P002778-V1,P002778,00010690,UNIT000001,Hộp 10 Vỉ x 10 Viên,true,false
P002778-V2,P002778,00010690,UNIT000003,10 Vỉ x 10 Viên,true,false
P002778-V3,P002778,00010690,UNIT000008,10 Viên,true,true
P002779-V1,P002779,00010125,UNIT000001,Hộp 2 Vỉ x 14 Viên,true,false
P002779-V2,P002779,00010125,UNIT000003,2 Vỉ x 14 Viên,true,false
P002779-V3,P002779,00010125,UNIT000008,14 Viên,true,true
P002780-V1,P002780,00008335,UNIT000001,Hộp 10 Vỉ x 10 Viên,true,false
P002780-V2,P002780,00008335,UNIT000003,10 Vỉ x 10 Viên,true,false
P002780-V3,P002780,00008335,UNIT000008,10 Viên,true,true
P002781-V1,P002781,00008264,UNIT000001,Hộp 2 Vỉ x 15 Viên,true,false
P002781-V2,P002781,00008264,UNIT000003,2 Vỉ x 15 Viên,true,false
P002781-V3,P002781,00008264,UNIT000008,15 Viên,true,true
P002782-V1,P002782,00008263,UNIT000001,Hộp 2 Vỉ x 15 Viên,true,false
P002782-V2,P002782,00008263,UNIT000003,2 Vỉ x 15 Viên,true,false
P002782-V3,P002782,00008263,UNIT000008,15 Viên,true,true
P002783-V1,P002783,00008226,UNIT000001,Hộp 2 Vỉ x 14 Viên,true,false
P002783-V2,P002783,00008226,UNIT000003,2 Vỉ x 14 Viên,true,false
P002783-V3,P002783,00008226,UNIT000008,14 Viên,true,true
P002784-V1,P002784,00007795,UNIT000001,Hộp 2 Vỉ x 30 Viên,true,false
P002784-V2,P002784,00007795,UNIT000003,2 Vỉ x 30 Viên,true,false
P002784-V3,P002784,00007795,UNIT000008,30 Viên,true,true
P002785-V1,P002785,00007082,UNIT000001,Hộp 2 Vỉ x 15 Viên,true,false
P002785-V2,P002785,00007082,UNIT000003,2 Vỉ x 15 Viên,true,false
P002785-V3,P002785,00007082,UNIT000008,15 Viên,true,true
P002786-V1,P002786,00006707,UNIT000001,Hộp 4 Vỉ x 7 Viên,true,false
P002786-V2,P002786,00006707,UNIT000003,4 Vỉ x 7 Viên,true,false
P002786-V3,P002786,00006707,UNIT000008,7 Viên,true,true
P002787-V1,P002787,00006653,UNIT000001,Hộp 4 Vỉ x 25 Viên,true,false
P002787-V2,P002787,00006653,UNIT000003,4 Vỉ x 25 Viên,true,false
P002787-V3,P002787,00006653,UNIT000008,25 Viên,true,true
P002788-V1,P002788,00006542,UNIT000001,Hộp 3 Vỉ x 10 Viên,true,false
P002788-V2,P002788,00006542,UNIT000003,3 Vỉ x 10 Viên,true,false
P002788-V3,P002788,00006542,UNIT000008,10 Viên,true,true
P002789-V1,P002789,00006427,UNIT000001,Hộp 2 Vỉ x 14 Viên,true,false
P002789-V2,P002789,00006427,UNIT000003,2 Vỉ x 14 Viên,true,false
P002789-V3,P002789,00006427,UNIT000008,14 Viên,true,true
P002790-V1,P002790,00006064,UNIT000001,Hộp 3 Vỉ x 10 Viên,true,false
P002790-V2,P002790,00006064,UNIT000003,3 Vỉ x 10 Viên,true,false
P002790-V3,P002790,00006064,UNIT000008,10 Viên,true,true
P002791-V1,P002791,00004917,UNIT000001,Hộp 5 Vỉ x 10 Viên,true,false
P002791-V2,P002791,00004917,UNIT000003,5 Vỉ x 10 Viên,true,false
P002791-V3,P002791,00004917,UNIT000008,10 Viên,true,true
P002792-V1,P002792,00004764,UNIT000001,Hộp 10 Vỉ x 10 Viên,true,false
P002792-V2,P002792,00004764,UNIT000003,10 Vỉ x 10 Viên,true,false
P002792-V3,P002792,00004764,UNIT000008,10 Viên,true,true
P002793-V1,P002793,00004763,UNIT000001,Hộp 10 Vỉ x 10 Viên,true,false
P002793-V2,P002793,00004763,UNIT000003,10 Vỉ x 10 Viên,true,false
P002793-V3,P002793,00004763,UNIT000008,10 Viên,true,true
P002794-V1,P002794,00004364,UNIT000001,Hộp 6 Vỉ x 10 Viên,true,false
P002794-V2,P002794,00004364,UNIT000003,6 Vỉ x 10 Viên,true,false
P002794-V3,P002794,00004364,UNIT000008,10 Viên,true,true
P002795-V1,P002795,00003828,UNIT000001,Hộp 10 Vỉ x 10 Viên,true,false
P002795-V2,P002795,00003828,UNIT000003,10 Vỉ x 10 Viên,true,false
P002795-V3,P002795,00003828,UNIT000008,10 Viên,true,true
P002796-V1,P002796,00002729,UNIT000001,Hộp 2 Vỉ x 30 Viên,true,false
P002796-V2,P002796,00002729,UNIT000003,2 Vỉ x 30 Viên,true,false
P002796-V3,P002796,00002729,UNIT000008,30 Viên,true,true
P002797-V1,P002797,00002558,UNIT000001,Hộp 10 Vỉ x 10 Viên,true,false
P002797-V2,P002797,00002558,UNIT000003,10 Vỉ x 10 Viên,true,false
P002797-V3,P002797,00002558,UNIT000008,10 Viên,true,true
P002798-V1,P002798,00002557,UNIT000001,Hộp 10 Vỉ x 10 Viên,true,false
P002798-V2,P002798,00002557,UNIT000003,10 Vỉ x 10 Viên,true,false
P002798-V3,P002798,00002557,UNIT000008,10 Viên,true,true
P002799-V1,P002799,00002103,UNIT000001,Hộp 30 Viên,true,false
P002799-V2,P002799,00002103,UNIT000008,30 Viên,true,true
