ingredient_code,ingredient_name,ingredient_slug,description
ING001116,Piroctone Olamine,piroctone-olamine,
ING001117,Octyldodecanol,octyldodecanol,
ING001118,Sorbitan Palmitate,sorbitan-palmitate,
ING001119,Cetearyl Isononanoate,cetearyl-isononanoate,
ING001120,Imperata Cylindrica Root Extract,imperata-cylindrica-root-extract,
ING001121,PEG-150,peg-150,
ING001122,Cera alba,cera-alba,
ING001123,Arachidic acid,arachidic-acid,
ING001124,Oleic Acid,oleic-acid,
ING001125,Benzyl alcohol,benzyl-alcohol,
ING001126,Farnesol,farnesol,
ING001127,Sodium myreth sulfate,sodium-myreth-sulfate,
ING001128,Peg-200 Hydrogenated Glyceryl Palmate,peg-200-hydrogenated-glyceryl-palmate,
ING001129,Oxothiazolidinecarboxylic acid,oxothiazolidinecarboxylic-acid,
ING001130,Acetyl Trifluoromethylphenyl Valylglycine,acetyl-trifluoromethylphenyl-valylglycine,
ING001131,Citrus Limon Fruit Extract,citrus-limon-fruit-extract,
ING001132,Phenylethyl resorcinol,phenylethyl-resorcinol,
ING001133,3-O-Ethyl Ascorbic Acid,3-o-ethyl-ascorbic-acid,
ING001134,Hydroxyethylpiperazine Ethane Sulfonic Acid,hydroxyethylpiperazine-ethane-sulfonic-acid,
ING001135,PEG/PPG/Polybutylene Glycol-8/5/3 Glycerin,pegppgpolybutylene-glycol-853-glycerin,
ING001136,Hydroxypropyl guar,hydroxypropyl-guar,
ING001137,Butyl hydroxybenzoate,butyl-hydroxybenzoate,
ING001138,Propyl Hydroxybenzoate,propyl-hydroxybenzoate,
ING001139,Acid Salicylic,acid-salicylic,1.5%
ING001140,Papain,papain,
ING001141,Hypercicum,hypercicum,
ING001142,Hydrogenated starch hydrolysate,hydrogenated-starch-hydrolysate,
ING001143,Cetearyl olivate,cetearyl-olivate,
ING001144,Polyacrylamide,polyacrylamide,
ING001145,Sorbitan Olivat,sorbitan-olivat,
ING001146,C13-14 Isoparaffin,c13-14-isoparaffin,
ING001147,C12-14 Pareth-12,c12-14-pareth-12,
ING001148,Dimethiconol,dimethiconol,
ING001149,Yeast Extract,yeast-extract,
ING001150,Laureth-7,laureth-7,
ING001151,Styrene Acrylates Copolymer,styrene-acrylates-copolymer,
ING001152,Quế Đơn,que-don,
ING001153,Địa du (Rễ),dia-du-re,
ING001154,Titanium Dioxide-nano,titanium-dioxide-nano,
ING001155,Zingiber Officinale Extract,zingiber-officinale-extract,
ING001156,Aqua/ Water La Roche-Posay,aqua-water-la-roche-posay,
ING001157,Bicarbonate of soda,bicarbonate-of-soda,
ING001158,Selenium,selenium,
ING001159,cuivre,cuivre,
ING001160,Silicates,silicates,
ING001161,Tapioca Starch,tapioca-starch,
ING001162,Cyclomethicone,cyclomethicone,
ING001163,Silica dimethyl silylate,silica-dimethyl-silylate,
ING001164,Carnitine,carnitine,
ING001165,Glycyrrhiza Inflata Root Extract,glycyrrhiza-inflata-root-extract,
ING001166,Sodium Stearoyl Glutamate,sodium-stearoyl-glutamate,
ING001167,Trisodium Edta,trisodium-edta,
ING001168,Phenylbenzimdazole Sulfonic Acid,phenylbenzimdazole-sulfonic-acid,
ING001169,Sodium carbomer,sodium-carbomer,
ING001170,Xantan Gum,xantan-gum,
ING001171,Glyceryl oleate,glyceryl-oleate,
ING001172,Peg-80 Glyceryl Cocoate,peg-80-glyceryl-cocoate,
ING001173,Sodium Laureth-8 Sulfate,sodium-laureth-8-sulfate,
ING001174,Peg-2 Hydroxyethyl Coco-isostearamide,peg-2-hydroxyethyl-coco-isostearamide,
ING001175,Sodium Oleth Sulfate,sodium-oleth-sulfate,
ING001176,Magnesium Laureth Sulfate,magnesium-laureth-sulfate,
ING001177,Bepilobium Angustifolium Extract,bepilobium-angustifolium-extract,
ING001178,Sodium Metabisulfite,sodium-metabisulfite,
ING001179,PEG-40,peg-40,
ING001180,Sodium lauroyl oat amino acids,sodium-lauroyl-oat-amino-acids,
ING001181,Disosium Edta,disosium-edta,
ING001182,Copper PCA,copper-pca,
ING001183,Butyl methixydibenzoymethane,butyl-methixydibenzoymethane,
ING001184,Butyl Avocadate,butyl-avocadate,
ING001185,Boswelia Serrata Resin Extract,boswelia-serrata-resin-extract,
ING001186,Sodium Cocoamphoagetate,sodium-cocoamphoagetate,
ING001187,Glyceryl cocoate,glyceryl-cocoate,
ING001188,Sodium Coceth Sunfate,sodium-coceth-sunfate,
ING001189,Glyceryl Cappylate,glyceryl-cappylate,
ING001190,Chondrus Crispus (Carrageenan) powder,chondrus-crispus-carrageenan-powder,
ING001191,PPG-26-Buteth-26,ppg-26-buteth-26,
ING001192,Di-C12-13 Alkyl Malate,di-c12-13-alkyl-malate,
ING001193,Alcohol Isohexadecane,alcohol-isohexadecane,
ING001194,Polysorbat 80,polysorbat-80,
ING001195,Polypropylene,polypropylene,
ING001196,Witch Hazel extract,witch-hazel-extract,
ING001197,Kẽm PCA,kem-pca,
ING001198,Distarch Phosphate,distarch-phosphate,
ING001199,Sodium Polyacrylate,sodium-polyacrylate,
ING001200,Sắt,sat,
ING001201,Khoáng chất,khoang-chat,
ING001202,Copper sulfate,copper-sulfate,
ING001203,Ginkgo Biloba Leaf Water,ginkgo-biloba-leaf-water,
ING001204,Butyloctyl Salicylate,butyloctyl-salicylate,
ING001205,Polyglyceryl-2 Dipolyhydroxystearate,polyglyceryl-2-dipolyhydroxystearate,
ING001206,Isododecane,isododecane,
ING001207,Polyhydroxystearic acid,polyhydroxystearic-acid,
ING001208,Glyceryl Behenate,glyceryl-behenate,
ING001209,Propylene Carbonate,propylene-carbonate,
ING001210,Sorbic Acid,sorbic-acid,
ING001211,Simmondsia Chinensis Oil,simmondsia-chinensis-oil,
ING001212,Peg-100 stearate,peg-100-stearate,
ING001213,Isobutane,isobutane,
ING001214,Diisobutyl Adipate,diisobutyl-adipate,
ING001215,Butyl Oleate,butyl-oleate,
ING001216,Diethylhexyl Maleate,diethylhexyl-maleate,
ING001217,"Diethylhexyl 2,6-Naphthalate",diethylhexyl-26-naphthalate,
ING001218,Acrylates/Octylacrylamide Copolymer,acrylatesoctylacrylamide-copolymer,
ING001219,Theobroma Cacao Seed Butter,theobroma-cacao-seed-butter,
ING001220,Mangifera Indica Seed Butter,mangifera-indica-seed-butter,
ING001221,Alpha-Isomethyl Ionone,alpha-isomethyl-ionone,
ING001222,Poloxamer 124,poloxamer-124,
ING001223,Arginine HCL,arginine-hcl,
ING001224,Omega Oil,omega-oil,
ING001225,Octadecenedioic Acid,octadecenedioic-acid,
ING001226,Magnesium PCA,magnesium-pca,
ING001227,hydroxyethyl piperazine ethane sulfonic,hydroxyethyl-piperazine-ethane-sulfonic,
ING001228,Biosaccharide Gum-1,biosaccharide-gum-1,
ING001229,Peg-100 Hydrogenated Castor Oil,peg-100-hydrogenated-castor-oil,
ING001230,Silic,silic,
ING001231,PPG-17,ppg-17,
ING001232,Elaeis Guineensis Oil,elaeis-guineensis-oil,
ING001233,Imidazolidinyl urea,imidazolidinyl-urea,
ING001234,Triethylhexyl Trimellitate,triethylhexyl-trimellitate,
ING001235,Simmondsia Chinensis Seed Oil,simmondsia-chinensis-seed-oil,
ING001236,Lauryl PEG-9 Polydimethylsiloxyethyl,lauryl-peg-9-polydimethylsiloxyethyl,
ING001237,Methyl Methacrylate Crosspolymer,methyl-methacrylate-crosspolymer,
ING001238,Ethylhexyl methoxycrylene,ethylhexyl-methoxycrylene,
ING001239,Butylparaben,butylparaben,
ING001240,Capric Glycerides,capric-glycerides,
ING001241,Poloxamer 188,poloxamer-188,
ING001242,Dihydrocholeth-30,dihydrocholeth-30,
ING001243,Polysorbata 60,polysorbata-60,
ING001244,Sorbitan Isostearate,sorbitan-isostearate,
ING001245,Bifida ferment lysate,bifida-ferment-lysate,
ING001246,Tetrasodium glutamate diacetate,tetrasodium-glutamate-diacetate,
ING001247,Chiết xuất khổ qua,chiet-xuat-kho-qua,
ING001248,Chiết xuất rau má,chiet-xuat-rau-ma,
ING001249,Chiết xuất sài đất,chiet-xuat-sai-dat,
ING001250,Chiết xuất lá tre,chiet-xuat-la-tre,
ING001251,Chiết xuất cúc la mã,chiet-xuat-cuc-la-ma,
ING001252,chiết xuất đu đủ,chiet-xuat-du-du,
ING001253,Chiết xuất kim ngân hoa,chiet-xuat-kim-ngan-hoa,
ING001254,Chiết xuất lá khế,chiet-xuat-la-khe,
ING001255,Chiết xuất cỏ mần trầu,chiet-xuat-co-man-trau,
ING001256,Tinh dầu cây mùi,tinh-dau-cay-mui,
ING001257,Diệp lục tố,diep-luc-to,
ING001258,Carbomethylcellulose sodium,carbomethylcellulose-sodium,
ING001259,Cl 45430,cl-45430,
ING001260,Citric acid anhydrous,citric-acid-anhydrous,
ING001261,Calophyllum inophyllum seed oil,calophyllum-inophyllum-seed-oil,
ING001262,Tocopheryl Acrtate,tocopheryl-acrtate,
ING001263,Sodium laurilsulfate,sodium-laurilsulfate,
ING001264,Hydrogenated Polyisobutene,hydrogenated-polyisobutene,
ING001265,C20-22 Alcohols,c20-22-alcohols,
ING001266,C20-22 Alkyl Phosphate,c20-22-alkyl-phosphate,
ING001267,Ethylhexyl Stearate,ethylhexyl-stearate,
ING001268,Canola oil,canola-oil,
ING001269,Capric/Capric triglyceride,capriccapric-triglyceride,
ING001270,Olea europaea leaf,olea-europaea-leaf,
ING001271,Perfume,perfume,
ING001272,Coumarin,coumarin,
ING001273,Cocamide Dea,cocamide-dea,
ING001274,Tetrasodium Edta Polysorbate 20,tetrasodium-edta-polysorbate-20,
ING001275,Cocamido propyl betain,cocamido-propyl-betain,
ING001276,Stearamine Oxide,stearamine-oxide,
ING001277,Arctium Lappa Root Extract,arctium-lappa-root-extract,
ING001278,Sodium Coco-sulfate,sodium-coco-sulfate,
ING001279,Citrus Unshiu Peel Extract,citrus-unshiu-peel-extract,
ING001280,Alpha-Glucan Oligosaccharide,alpha-glucan-oligosaccharide,
ING001281,Aloe (aloe barbadensis),aloe-aloe-barbadensis,
ING001282,Gossypium Herbaceum extract,gossypium-herbaceum-extract,
ING001283,Oryza Sativa (Rice) Bran,oryza-sativa-rice-bran,
ING001284,Ceteth-20,ceteth-20,
ING001285,Steareth-20,steareth-20,
ING001286,Peg-75 Stearate,peg-75-stearate,
ING001287,Polyacrylate Crosspolymer-11,polyacrylate-crosspolymer-11,
ING001288,Ammonium Lauryl Sulfate,ammonium-lauryl-sulfate,
ING001289,Potassium cocoate,potassium-cocoate,
ING001290,PEG-150 Distearate,peg-150-distearate,
ING001291,Piper betle extract,piper-betle-extract,
ING001292,Alpha Terpineol,alpha-terpineol,
ING001293,4-Isopropyl-3-methylphenol,4-isopropyl-3-methylphenol,
ING001294,Hydrogenated Olive Oil,hydrogenated-olive-oil,
ING001295,Olea Europaea,olea-europaea,
ING001296,Fruit Oil,fruit-oil,
ING001297,Oil Unsaponifiables,oil-unsaponifiables,
ING001298,Euphorbia Cerifera (Candelilla) Wax,euphorbia-cerifera-candelilla-wax,
ING001299,DMHC Hydantoin,dmhc-hydantoin,
ING001300,Linoleic acid & Linolenic acid (Vitamin F),linoleic-acid-and-linolenic-acid-vitamin-f,
ING001301,Piper Betle (Leaf) Extract,piper-betle-leaf-extract,
ING001302,Rosa Centifolia Flower Extract,rosa-centifolia-flower-extract,
ING001303,Prunus Mume Fruit Extract,prunus-mume-fruit-extract,
ING001304,Euglena Gracilis Polysaccharide,euglena-gracilis-polysaccharide,
ING001305,Tocopherol acetate,tocopherol-acetate,
ING001306,Hamamelis Virginiana (Witch Hazel) Extract,hamamelis-virginiana-witch-hazel-extract,
ING001307,Ceteareth-25,ceteareth-25,
ING001308,Rosa Centifolia Flower Water,rosa-centifolia-flower-water,
ING001309,Chamomilla Recutita Flower,chamomilla-recutita-flower,
ING001310,Oenothera biennis seed oil,oenothera-biennis-seed-oil,
ING001311,Steareth-6,steareth-6,
ING001312,CI 17200,ci-17200,
ING001313,CI42090,ci42090,
ING001314,Cocos Nucifera Seed Oil,cocos-nucifera-seed-oil,
ING001315,Citrus junos fruit,citrus-junos-fruit,
ING001316,Prunus Persica Leaf Extract,prunus-persica-leaf-extract,
ING001317,Rosmarinus Officinalis (Rosemary) Leaf Powder,rosmarinus-officinalis-rosemary-leaf-powder,
ING001318,Mica,mica,
ING001319,"Silica, hydrated",silica-hydrated,
ING001320,Aluminium hydroxide,aluminium-hydroxide,
ING001321,Avena Sativa,avena-sativa,
ING001322,Persea Gratissima oil,persea-gratissima-oil,
ING001323,D-Pantothenol,d-pantothenol,
ING001324,Oryza Sativa (Rice) Germ Oil,oryza-sativa-rice-germ-oil,
ING001325,Butyrospermum Parkii (Shea) Butter,butyrospermum-parkii-shea-butter,
ING001326,Coco-Caprylate/Caprate,coco-caprylatecaprate,
ING001327,Engelhardtia Chrysolepis Leaf Extract,engelhardtia-chrysolepis-leaf-extract,
ING001328,Trimethylsiloxysilicate,trimethylsiloxysilicate,
ING001329,Nylon-9,nylon-9,
ING001330,Paeonia Suffruticosa Root Extract,paeonia-suffruticosa-root-extract,
ING001331,Camphor,camphor,700mg
ING001332,Chlorophyll,chlorophyll,
ING001333,Liquid Paraffin,liquid-paraffin,
ING001334,Theobroma Cocoa Seed Butter,theobroma-cocoa-seed-butter,
ING001335,Ceteareth-12,ceteareth-12,
ING001336,Carthamus tinctorius seed oil,carthamus-tinctorius-seed-oil,
ING001337,Coffea Robusta (Coffee) Seed Powder,coffea-robusta-coffee-seed-powder,
ING001338,C10-18 Triglycerides,c10-18-triglycerides,
ING001339,Cetyl palmitate,cetyl-palmitate,
ING001340,Glycine Soja Sterols,glycine-soja-sterols,
ING001341,Phospholipids,phospholipids,
ING001342,Glycolipids,glycolipids,
ING001343,Hydroxypropyl Starch Phosphate,hydroxypropyl-starch-phosphate,
ING001344,Glycine soja oil,glycine-soja-oil,
ING001345,Olus Oil,olus-oil,
ING001346,Hydroxypropylcellulose,hydroxypropylcellulose,
ING001347,Aluminium chloride,aluminium-chloride,
ING001348,Aluminum chloride,aluminum-chloride,
ING001349,Dichlorobenzyl alcohol,dichlorobenzyl-alcohol,
ING001350,Laureth-4,laureth-4,
ING001351,Lonicera Japonica Extract,lonicera-japonica-extract,
ING001352,Polassium Sorbate,polassium-sorbate,
ING001353,Alpha-glucan- Oligosaccharide,alpha-glucan-oligosaccharide,
ING001354,Centaurea Cyanus Flower Extract,centaurea-cyanus-flower-extract,
ING001355,Polymnia Sonchifolia Root Juice,polymnia-sonchifolia-root-juice,
ING001356,Vaccinium macrocarpon fruit extract,vaccinium-macrocarpon-fruit-extract,
ING001357,Orange 4 (CI 15510),orange-4-ci-15510,
ING001358,Choline Chloride,choline-chloride,
ING001359,Styrene/Acrylates Copolymer,styreneacrylates-copolymer,
ING001360,DMDM Hydantoin,dmdm-hydantoin,
ING001361,Methylisothiazolinone,methylisothiazolinone,
ING001362,Magnesium chloride,magnesium-chloride,
ING001363,Magnesium nitrate,magnesium-nitrate,
ING001364,Hydrolyzed milk protein,hydrolyzed-milk-protein,
ING001365,Soyamide Dea,soyamide-dea,
ING001366,Boswellia Serrata Resin Extract,boswellia-serrata-resin-extract,
ING001367,Glucosamine Sulfate,glucosamine-sulfate,
ING001368,Dime-thyl Sulfone,dime-thyl-sulfone,
ING001369,Mentha Arvensis Leaf Oil,mentha-arvensis-leaf-oil,
ING001370,Yến Mạch,yen-mach,
ING001371,2-phenoxyethanol,2-phenoxyethanol,
ING001372,beta-Sitosterol,beta-sitosterol,
ING001373,Hạnh nhân,hanh-nhan,
ING001374,Ethoxydiglycol,ethoxydiglycol,
ING001375,Nano THC,nano-thc,
ING001376,Shea butter,shea-butter,
ING001377,Ceramide III,ceramide-iii,
ING001378,Coffea Arabica (Coffee) Seed Oil,coffea-arabica-coffee-seed-oil,
ING001379,Brassica Campestris (Rapeseed) Sterols,brassica-campestris-rapeseed-sterols,
ING001380,Polyglyceryl-6 Distearate,polyglyceryl-6-distearate,
ING001381,Jojoba Esters,jojoba-esters,
ING001382,Polyglyceryl-3 Beeswax,polyglyceryl-3-beeswax,
ING001383,Caprylhydroxamic Acid,caprylhydroxamic-acid,
ING001384,Cocamidopropyl PG-Dimonium Chloride Phosphate,cocamidopropyl-pg-dimonium-chloride-phosphate,
ING001385,Olive Oil PEG-7 Esters,olive-oil-peg-7-esters,
ING001386,Aloe barbadensis leaf,aloe-barbadensis-leaf,
ING001387,CI 19140,ci-19140,
ING001388,Myristyl Alcohol,myristyl-alcohol,
ING001389,Menthol Crystals,menthol-crystals,
ING001390,Củ nén,cu-nen,
ING001391,Carboxymethyl cellulose,carboxymethyl-cellulose,
ING001392,Hamamelis Virgininana Water,hamamelis-virgininana-water,
ING001393,Ganoderma Lucidum Extract,ganoderma-lucidum-extract,
ING001394,Eurycoma longifolia,eurycoma-longifolia,
ING001395,Panax ginseng root extract,panax-ginseng-root-extract,
ING001396,Bạch phàn,bach-phan,
ING001397,Tinh dầu ngải cứu,tinh-dau-ngai-cuu,
ING001398,Triisostearin,triisostearin,
ING001399,Polyquaternium-51,polyquaternium-51,
ING001400,Sodium PCA,sodium-pca,
ING001401,Serine,serine,
ING001402,Glutamic Acid,glutamic-acid,
ING001403,Alanine,alanine,
ING001404,Threonine,threonine,
ING001405,Proline,proline,
ING001406,Ceramide 3,ceramide-3,
ING001407,Ceramide 6 II,ceramide-6-ii,
ING001408,Ceramide 1,ceramide-1,
ING001409,Porphyridium Cruentum Extract,porphyridium-cruentum-extract,
ING001410,Ethyhexyl glycerryl,ethyhexyl-glycerryl,
ING001411,Eucalyptus Leaf,eucalyptus-leaf,
ING001412,Sodium Lauroyl Methylaminopropionate,sodium-lauroyl-methylaminopropionate,
ING001413,Potassium Cocoyl Glutamate,potassium-cocoyl-glutamate,
ING001414,Sodium Laurenth Sulphate,sodium-laurenth-sulphate,
ING001415,cocamide MEA,cocamide-mea,
ING001416,Peppermint oil,peppermint-oil,2680mg
ING001417,Chiết xuất Citrus Aurantium,chiet-xuat-citrus-aurantium,
ING001418,Silver citrate,silver-citrate,
ING001419,Cinnamon,cinnamon,
ING001420,Caraway,caraway,
ING001421,Cardamomin,cardamomin,
ING001422,Turmeric Extract,turmeric-extract,
ING001423,Eucalyptus oil,eucalyptus-oil,
ING001424,Nano Curcumin,nano-curcumin,
ING001425,Chiết xuất xuyên tâm liên,chiet-xuat-xuyen-tam-lien,
ING001426,Ngư tinh thảo,ngu-tinh-thao,
ING001427,Hòe giác,hoe-giac,
ING001428,Long não,long-nao,
ING001429,Dầu dừa,dau-dua,
ING001430,Kẽm oxyd,kem-oxyd,
ING001431,Vaselin,vaselin,
ING001432,Ethyl hexyl,ethyl-hexyl,
ING001433,Dexpanthenol,dexpanthenol,
ING001434,Na2 EDTA,na2-edta,
ING001435,Polyethylene glycol,polyethylene-glycol,
ING001436,Dung dịch Nano bạc,dung-dich-nano-bac,
ING001437,Acid Myristic,acid-myristic,
ING001438,Hexadecanol,hexadecanol,
ING001439,Triethenolamine,triethenolamine,
ING001440,Butan,butan,
ING001441,Propane,propane,
ING001442,Frangrance,frangrance,
ING001443,Cassia Oil,cassia-oil,
ING001444,Ethyl Alcohol,ethyl-alcohol,
ING001445,Methyl nicotinate,methyl-nicotinate,
ING001446,Azone,azone,
ING001447,Isopropanol,isopropanol,
ING001448,Nghệ nano,nghe-nano,
ING001449,Crocus Sativus Flower Extract,crocus-sativus-flower-extract,
ING001450,Alkyl Carboxylic Acid Sodium Salt,alkyl-carboxylic-acid-sodium-salt,
ING001451,Sodium Cocoate,sodium-cocoate,
ING001452,Betel Peper Extract,betel-peper-extract,
ING001453,Olea Europaea (Olive) Fruit Oil,olea-europaea-olive-fruit-oil,
ING001454,Hydrogenated castor oil,hydrogenated-castor-oil,
ING001455,sodium cocoyl alaninate,sodium-cocoyl-alaninate,
ING001456,Olea Europaea Fruit Oil,olea-europaea-fruit-oil,
ING001457,Helianthus Annuus Seed Oil,helianthus-annuus-seed-oil,
ING001458,Calendula Officinalis Extract,calendula-officinalis-extract,
ING001459,Lauroyl Methyl Glucamide,lauroyl-methyl-glucamide,
ING001460,Polyquatermium-10,polyquatermium-10,
ING001461,Eucalyptus Globulus Essential Oil,eucalyptus-globulus-essential-oil,
ING001462,Diosmine,diosmine,
ING001463,Escin,escin,
ING001464,Aesculus Hippocastanum Seed Extract,aesculus-hippocastanum-seed-extract,
ING001465,Ruscus Aculeatus Root Nut Extract,ruscus-aculeatus-root-nut-extract,
ING001466,Vaccinium myrtillus,vaccinium-myrtillus,
ING001467,echinacea angustifolia,echinacea-angustifolia,
ING001468,Rosa damascena extract,rosa-damascena-extract,
ING001469,Perilla Frutescens Extract,perilla-frutescens-extract,
ING001470,Polyquatermium-7,polyquatermium-7,
ING001471,Undecylenic acid,undecylenic-acid,
ING001472,Benzyl benzoat,benzyl-benzoat,
ING001473,Ceteareth-60 Myristyl Glycol,ceteareth-60-myristyl-glycol,
ING001474,Polyquaternium-10,polyquaternium-10,
ING001475,Magnesium Laureth-8 Sulfate,magnesium-laureth-8-sulfate,
ING001476,Peg-75 Shea Butter Glycerides,peg-75-shea-butter-glycerides,
ING001477,Isopropyl Alcohol,isopropyl-alcohol,
ING001478,Raspberry Seed Oil/Palm Oil Aminopropanediol Esters,raspberry-seed-oilpalm-oil-aminopropanediol-esters,
ING001479,glycerin oleate,glycerin-oleate,
ING001480,Hydrogenated Palm Glycerides Citrate,hydrogenated-palm-glycerides-citrate,
ING001481,Aesculus Hippocastanum Extract,aesculus-hippocastanum-extract,
ING001482,Zingiber Zerumbet Extract,zingiber-zerumbet-extract,
ING001483,Persea Gratissima Fruit Extract,persea-gratissima-fruit-extract,
ING001484,Sesamum Indicum (Sesame) Seed Oil (Sesamum Indicum),sesamum-indicum-sesame-seed-oil-sesamum-indicum,
ING001485,Melaleuca Leucadendron Cajaputi Oil,melaleuca-leucadendron-cajaputi-oil,
ING001486,Glycyrrhetinyl stearate,glycyrrhetinyl-stearate,
ING001487,Ceresin,ceresin,
ING001488,Stearamide,stearamide,
ING001489,Sodium cetyl sulfate,sodium-cetyl-sulfate,
ING001490,Laureth-9,laureth-9,
ING001491,Dicaprylyl Ether,dicaprylyl-ether,
ING001492,Raspberry,raspberry,
ING001493,Borage Seed Oil Aminopropanediol Amides,borage-seed-oil-aminopropanediol-amides,
ING001494,Poly-quaternium-7,poly-quaternium-7,
ING001495,Vitamin B5,vitamin-b5,
ING001496,Nelumbo nucifera leaf extract,nelumbo-nucifera-leaf-extract,
ING001497,Bellis Perennis Flower Extract,bellis-perennis-flower-extract,
ING001498,Rose Centifolia Flower Extract,rose-centifolia-flower-extract,
ING001499,Polyglyceryl-5 Polyricinoleate,polyglyceryl-5-polyricinoleate,
ING001500,Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer,vinyl-dimethiconemethicone-silsesquioxane-crosspolymer,
ING001501,Dipentaerythrityl Tetrahydroxystearate,dipentaerythrityl-tetrahydroxystearate,
ING001502,Caprylic/Capric/Myristic/Stearic Triglyceride,capryliccapricmyristicstearic-triglyceride,
ING001503,Paraffin,paraffin,
ING001504,Phytosteryl/Behenyl/Octyldodecyl Lauroyl Glutamate,phytosterylbehenyloctyldodecyl-lauroyl-glutamate,
ING001505,Synthetic Wax,synthetic-wax,
ING001506,Hydrogenated Polydecene,hydrogenated-polydecene,
ING001507,Microcrystalline wax,microcrystalline-wax,
ING001508,Dipropylheptyl Carbonate,dipropylheptyl-carbonate,
ING001509,PPG-20 Methyl Glucose Ether,ppg-20-methyl-glucose-ether,
ING001510,Hexyldecanol,hexyldecanol,
ING001511,Hexyldecyl Laurate,hexyldecyl-laurate,
ING001512,Polyglyceryl-3 Polyricinoleate,polyglyceryl-3-polyricinoleate,
ING001513,Prunus Amygdalus Dulcis Oil,prunus-amygdalus-dulcis-oil,
ING001514,Vitis Vinifera Oil,vitis-vinifera-oil,
ING001515,Echinacea angustifolia root extract,echinacea-angustifolia-root-extract,
ING001516,PPG - 14 Butyl Ether,ppg-14-butyl-ether,
ING001517,Epigallocatechin gallate,epigallocatechin-gallate,
ING001518,"Disodium EDTA, anhydrous",disodium-edta-anhydrous, 
ING001519,Melaleuca alternifolia,melaleuca-alternifolia, 
ING001520,Curcuma Longa Root,curcuma-longa-root, 
ING001521,Methylchloroisothiazolinone,methylchloroisothiazolinone,
ING001522,Triticum Vulgare (Wheat) Germ Oil,triticum-vulgare-wheat-germ-oil,
ING001523,Lanolin,lanolin,15.5%
ING001524,Borneol,borneol,
ING001525,Clove oil,clove-oil,
ING001526,Pine Tree Oil,pine-tree-oil,
ING001527,Dementholised Mint Oil,dementholised-mint-oil,
ING001528,PEG,peg,
ING001529,Laureth-2,laureth-2,
ING001530,Sodium cocoamphoaxetat,sodium-cocoamphoaxetat,
ING001531,Glucoside Lauryl,glucoside-lauryl,
ING001532,Sodium lauryl carboxylate glucose,sodium-lauryl-carboxylate-glucose,
ING001533,Althaea officinalis,althaea-officinalis,
ING001534,Arctium lappa,arctium-lappa,
ING001535,Hydrogenated glycerides co citrate,hydrogenated-glycerides-co-citrate,
ING001536,NaCl,nacl,
ING001537,Acid lactic,acid-lactic,
ING001538,Mentha arvensis top,mentha-arvensis-top,
ING001539,CI 42051,ci-42051,
ING001540,Carica Papaya fruit extract,carica-papaya-fruit-extract,
ING001541,EDTA sodium,edta-sodium,
ING001542,Sodium palm kernelate,sodium-palm-kernelate,
ING001543,Dehydroacetic Acid,dehydroacetic-acid,
ING001544,Sodium Palmate,sodium-palmate,
ING001545,Sulfur,sulfur,
ING001546,Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate,pentaerythrityl-tetra-di-t-butyl-hydroxyhydrocinnamate,
ING001547,Polyglyceryl-4 Isostearate,polyglyceryl-4-isostearate,
ING001548,Acetylated Glycol Stearate,acetylated-glycol-stearate,
ING001549,Manganese gluconate,manganese-gluconate,
ING001550,Trihydroxystearin,trihydroxystearin,
ING001551,Zea mays starch,zea-mays-starch,
ING001552,Lactobionic Acid,lactobionic-acid,
ING001553,Heliotropine,heliotropine,
ING001554,Hydrolyzed Wheat Protein,hydrolyzed-wheat-protein,
ING001555,Mỡ cừu,mo-cuu,4%
ING001556,Cera Microcristallina (Microcrystalline Wax),cera-microcristallina-microcrystalline-wax,
ING001557,Tinh dầu Oải Hương,tinh-dau-oai-huong,
ING001558,Benzyl Cinnamate,benzyl-cinnamate,
ING001559,Sorbitan Sesquioleate,sorbitan-sesquioleate,
ING001560,Paraffin lỏng,paraffin-long,
ING001561,Axit chanh,axit-chanh,
ING001562,PPG-10 Methyl Glucose Ether,ppg-10-methyl-glucose-ether,
ING001563,Vinyl Dimethicone/Lauryl Dimethicone Crosspolymer,vinyl-dimethiconelauryl-dimethicone-crosspolymer,
ING001564,Hoa đào,hoa-dao,
ING001565,Trầu không,trau-khong,
ING001566,Nghệ vàng,nghe-vang,
ING001567,Đồng sulfate,dong-sulfate, 
ING001568,Nhôm kali sulfat khan,nhom-kali-sulfat-khan,
ING001569,Tinh dầu thơm vừa đủ,tinh-dau-thom-vua-du, 
ING001570,Hoa hồng,hoa-hong,
ING001571,Lá trầu không,la-trau-khong,
ING001572,Colloidal silver,colloidal-silver,
ING001573,Glyceryl monostearate,glyceryl-monostearate, 
ING001574,PEG-75 Lanolin,peg-75-lanolin, 
ING001575,Neolone PE,neolone-pe, 
ING001576,Paraffin Oil,paraffin-oil, 
ING001577,Vaseline,vaseline,10 
ING001578,Magnesium Laureth Sulphate,magnesium-laureth-sulphate,
ING001579,Glyceryl Laurate,glyceryl-laurate,
ING001580,Lactoserum atomisat,lactoserum-atomisat,0.93 
ING001581,Sodium Laureth Sulphate,sodium-laureth-sulphate,
ING001582,Peg-55 Propylene Glycol Oleate,peg-55-propylene-glycol-oleate,
