manufacturer_code,manufacturer_name,manufacturer_slug
MFR000368,CÔNG TY CỔ PHẦN THƯƠNG MẠI DƯỢC VẬT TƯ Y TẾ HÀ NỘI,cong-ty-co-phan-thuong-mai-duoc-vat-tu-y-te-ha-noi
MFR000369,CÔNG TY CỔ PHẦN HÓA DƯỢC VIỆT NAM - VIỆT NAM,cong-ty-co-phan-hoa-duoc-viet-nam-viet-nam
MFR000370,"HUIZHOU KAIYI TECHNOLOGY CO., LTD.,",huizhou-kaiyi-technology-co-ltd
MFR000371,COC FARMACEUTICI S.R.L,coc-farmaceutici-srl
MFR000372,STARPHARMA PTY.LTD,starpharma-ptyltd
MFR000373,"Xiantao Yuanjie Nonwoven Products Co., Ltd",xiantao-yuanjie-nonwoven-products-co-ltd
MFR000374,NEILMED,neilmed
MFR000375,CTY CP TẬP ĐOÀN MEDRAP,cty-cp-tap-doan-medrap
MFR000376,SOFIBEL SAS.,sofibel-sas
MFR000377,YOUMEDICAL B.V.,youmedical-bv
MFR000378,LABORATOIRE URGO,laboratoire-urgo
MFR000379,CÔNG TY CPDP VÀ SINH HỌC Y TẾ,cong-ty-cpdp-va-sinh-hoc-y-te
MFR000380,LAMED HEALTHCARE PRIVATE LIMITED,lamed-healthcare-private-limited
MFR000381,"SHANDONG LIANFA MEDICAL PLASTIC PRODUCTS CO., LTD.",shandong-lianfa-medical-plastic-products-co-ltd
MFR000382,ACCU CHECK,accu-check
MFR000383,BECTON DICKINSON,becton-dickinson
MFR000384,DUOMED,duomed
MFR000385,GREAT WORLD,great-world
MFR000386,CÔNG TY TNHH B.BRAUN VIỆT NAM,cong-ty-tnhh-bbraun-viet-nam
MFR000387,CT CP trang thiết bị Kỹ thuật  y tế TP.HCM,ct-cp-trang-thiet-bi-ky-thuat-y-te-tphcm
MFR000388,"NINGBO SINTRUE MEDICAL INSTRUMENTS CO.,LTD",ningbo-sintrue-medical-instruments-coltd
MFR000389,KORA HEALTHCARE,kora-healthcare
MFR000390,B.BRAUN MEDICAL SAS,bbraun-medical-sas
MFR000391,CRAB SINERGY,crab-sinergy
MFR000392,CÔNG TY CỔ PHẦN THIẾT BỊ Y TẾ VINAHANKOOK,cong-ty-co-phan-thiet-bi-y-te-vinahankook
MFR000393,MULTISAFE SDN BHD,multisafe-sdn-bhd
MFR000394,LABORATOIRES URGO,laboratoires-urgo
MFR000395,"DAIYA INDUSTRY CO.,LTD",daiya-industry-coltd
MFR000396,ASAHI,asahi
MFR000397,SRI TRANG GLOVES (THAILAND) PUBLIC COMPANY LIMITED,sri-trang-gloves-thailand-public-company-limited
MFR000398,VESTA,vesta
MFR000399,CTY SXTM TTBYT HOÀNG SƠN,cty-sxtm-ttbyt-hoang-son
MFR000400,"Feel Tech Bio Co., Ltd",feel-tech-bio-co-ltd
MFR000401,"Kendall Gammatron Co., Ltd.",kendall-gammatron-co-ltd
MFR000402,B.BRAUN MEDICAL INDUSTRIES,bbraun-medical-industries
MFR000403,Omiga,omiga
MFR000404,"WENZHOU JINGHUAN TECHNOLOGY CO., LTD",wenzhou-jinghuan-technology-co-ltd
MFR000405,LINH HIẾU,linh-hieu
MFR000406,Linhhieu,linhhieu
MFR000407,ALCON RESEARCH LLC,alcon-research-llc
MFR000408,CÔNG TY TNHH HAMECO HƯNG YÊN,cong-ty-tnhh-hameco-hung-yen
MFR000409,CÔNG TY CỔ PHẦN TANAPHAR,cong-ty-co-phan-tanaphar
MFR000410,"ALLERGAN PHARM (IRELAND)., LTD",allergan-pharm-ireland-ltd
MFR000411,DAIYA INDUSTRY,daiya-industry
MFR000412,CÔNG TY CỔ PHẦN DƯỢC PHẨM SONG THÀNH,cong-ty-co-phan-duoc-pham-song-thanh
MFR000413,JSC FARMAK,jsc-farmak
MFR000414,TRƯỜNG SƠN,truong-son
MFR000415,NGỌC LIÊN,ngoc-lien
MFR000416,CÔNG TY TNHH DƯỢC PHẨM DƯỢC LIỆU OPODIS,cong-ty-tnhh-duoc-pham-duoc-lieu-opodis
MFR000417,Mediven,mediven
MFR000418,TG MEDICAL SND,tg-medical-snd
MFR000419,SINOMARIN,sinomarin
MFR000420,"GUANGZHOU BERRCOM MEDICAL DEVICE CO., LTD",guangzhou-berrcom-medical-device-co-ltd
MFR000421,CÔNG TY TNHH CÔNG NGHỆ CAO SU VIỆT NAM,cong-ty-tnhh-cong-nghe-cao-su-viet-nam
MFR000422,"I-SENS, INC",i-sens-inc
MFR000423,EPS BIO TECHNOLOGY CORP,eps-bio-technology-corp
MFR000424,HUMASIS,humasis
MFR000425,BIOTECHNOLOGY,biotechnology
MFR000426,"A&D ELECTRONICS(SHENZEN) CO.,LTD",aandd-electronicsshenzen-coltd
MFR000427,MICROLIFE AG,microlife-ag
MFR000428,CÔNG TY TNHH MEDICON,cong-ty-tnhh-medicon
MFR000429,"GeneSign  Biotech (Xiamen)  Co., Ltd",genesign-biotech-xiamen-co-ltd
MFR000430,"ACON BIOTECH (HANGZHOU) CO.,LTD",acon-biotech-hangzhou-coltd
MFR000431,"Altek Medical (Kunshan) Limited.,",altek-medical-kunshan-limited
MFR000432,"Zhejiang PoCTech Co., Ltd.",zhejiang-poctech-co-ltd
MFR000433,Omron,omron
MFR000434,I-SENS WONJU FACTORY,i-sens-wonju-factory
MFR000435,"OMRON HEALTHCARE LTD CO.,LTD",omron-healthcare-ltd-coltd
MFR000436,"ONBO ELECTRONIC (SHENZEN) CO.LTD, TRUNG QUỐC",onbo-electronic-shenzen-coltd-trung-quoc
MFR000437,SANMINA,sanmina
MFR000438,"Sugentech, Inc",sugentech-inc
MFR000439,"KRELL PRECISION (YANGZHOU) CO., LTD",krell-precision-yangzhou-co-ltd
MFR000440,OMRON HEALTHCARE CO.,omron-healthcare-co
MFR000441,"ONBO ELECTRONIC(SHENZHEN) CO.LTD,",onbo-electronicshenzhen-coltd
MFR000442,BIOCHEMICAL SYSTEMS INTERNATIONAL,biochemical-systems-international
MFR000443,ACON LABORATORIES INC,acon-laboratories-inc
MFR000444,LIFESCAN,lifescan
MFR000445,SINOCARE CORP,sinocare-corp
MFR000446,Roche Diabetes Care GmbH,roche-diabetes-care-gmbh
MFR000447,"SHENZHEN CREATIVE INDUSTRY CO.,LTD",shenzhen-creative-industry-coltd
MFR000448,"JUMPER MEDICAL EQUIPTMENT CO.,LTD",jumper-medical-equiptment-coltd
MFR000449,"ONBO Electronic (Shenzhen) Co., Ltd",onbo-electronic-shenzhen-co-ltd
MFR000450,"ROCHE OPREATIONS LTD.,",roche-opreations-ltd
MFR000451,"FT DIGITAL TECHNOLOGY CO.,LTD",ft-digital-technology-coltd
MFR000452,"SHENZHEN JUMPER MEDICAL EQUIPTMENT CO.,LTD",shenzhen-jumper-medical-equiptment-coltd
MFR000453,BEURER GMBH (ĐỨC),beurer-gmbh-duc
MFR000454,"KUSHAN RADIANT INNOVATION CO.,LTD",kushan-radiant-innovation-coltd
MFR000455,TAIDOC,taidoc
MFR000456,MICROLIFE (THỤY SĨ),microlife-thuy-si
MFR000457,ACON,acon
MFR000458,"FLEXTRONICS TECHNOLOGY(SHENZHEN) CO,LTD.,",flextronics-technologyshenzhen-coltd
MFR000459,"CARER MEDICAL TECHNOLOGY CO.,LTD",carer-medical-technology-coltd
MFR000460,TOSVAR S.R.L,tosvar-srl
MFR000461,CÔNG TY CỔ PHẦN DƯỢC PHẨM HISAMITSU,cong-ty-co-phan-duoc-pham-hisamitsu
MFR000462,CÔNG TY TNHH DƯỢC MỸ PHẨM DELAVY,cong-ty-tnhh-duoc-my-pham-delavy
MFR000463,URGO,urgo
MFR000464,FUSO TEIKOKU,fuso-teikoku
MFR000465,Anhui Province Dejitang,anhui-province-dejitang
MFR000466,STARMED,starmed
MFR000467,GEDEON RICHTER,gedeon-richter
MFR000468,CÔNG TY TNHH YOUNG CHEMICAL VINA,cong-ty-tnhh-young-chemical-vina
MFR000469,YOUNG CHEMICAL VINA,young-chemical-vina
MFR000470,"YOUNG CHEMICAL CO.,LTD",young-chemical-coltd
MFR000471,Nirial Pharma,nirial-pharma
MFR000472,FARMAC - ZABBAN S.P.A,farmac-zabban-spa
MFR000473,CÔNG TY CỔ PHẦN ĐÔNG NAM DƯỢC NHỊ THIÊN ĐƯỜNG,cong-ty-co-phan-dong-nam-duoc-nhi-thien-duong
MFR000474,OFTALPHARMA SRL,oftalpharma-srl
MFR000475,Di Hào,di-hao
MFR000476,Fidia,fidia
MFR000477,"Anhui Miao De Tang Pharmaceutical Co., Ltd",anhui-miao-de-tang-pharmaceutical-co-ltd
MFR000478,AVEFLOR,aveflor
MFR000479,CÔNG TY CỔ PHẦN DƯỢC KIM BẢNG,cong-ty-co-phan-duoc-kim-bang
MFR000480,CÔNG TY TNHH MI LO PHA,cong-ty-tnhh-mi-lo-pha
MFR000481,BÔNG BẠCH TUYẾT,bong-bach-tuyet
MFR000482,CÔNG TY CỔ PHẨN THIẾT BỊ Y TẾ BẢO THẠCH,cong-ty-co-phan-thiet-bi-y-te-bao-thach
MFR000483,CÔNG TY CP BÔNG BẠCH TUYẾT,cong-ty-cp-bong-bach-tuyet
MFR000484,QUANG MẬU,quang-mau
MFR000485,CÔNG TY TNHH ĐẦU TƯ VÀ THƯƠNG MẠI AN LÀNH,cong-ty-tnhh-dau-tu-va-thuong-mai-an-lanh
MFR000486,Bảo Thạch,bao-thach
MFR000487,MISAMITSU,misamitsu
MFR000488,LIWORLDCO,liworldco
MFR000489,CTY TNHH YOUNG CHEMICAL VINA,cty-tnhh-young-chemical-vina
MFR000490,CÔNG TY TNHH SX TM LÊ GIA,cong-ty-tnhh-sx-tm-le-gia
MFR000491,CÔNG TY CP TBYT BẢO THẠCH,cong-ty-cp-tbyt-bao-thach
MFR000492,NHÀ MÁY DƯỢC PHẨM DKPHARMA,nha-may-duoc-pham-dkpharma
MFR000493,DEROYAL,deroyal
MFR000494,"Zhende Medical Co., Ltd",zhende-medical-co-ltd
MFR000495,STRATPHARMA,stratpharma
MFR000496,B.Braun Melsungen AG,bbraun-melsungen-ag
MFR000497,CƠ SỞ TƯƠNG LAI,co-so-tuong-lai
MFR000498,CONVATEC,convatec
MFR000499,BENOSTAN HEALTH PRODUCTS,benostan-health-products
MFR000500,FARMIGEA S.P.A,farmigea-spa
MFR000501,Menarini,menarini
MFR000502,CÔNG TY CỔ PHẦN DƯỢC VẬT TƯ Y TẾ HẢI DƯƠNG,cong-ty-co-phan-duoc-vat-tu-y-te-hai-duong
MFR000503,Epitech Group S.p.A,epitech-group-spa
MFR000504,CÔNG TY TNHH VẬT TƯ Y TẾ GIA BẢO,cong-ty-tnhh-vat-tu-y-te-gia-bao
MFR000505,Vĩnh Tiến,vinh-tien
MFR000506,HẠNH MINH,hanh-minh
MFR000507,CÔNG TY TNHH SX TM HẠNH MINH,cong-ty-tnhh-sx-tm-hanh-minh
MFR000508,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI HẠNH MINH,cong-ty-tnhh-san-xuat-thuong-mai-hanh-minh
MFR000509,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI THIẾT BỊ NAM ANH,cong-ty-tnhh-san-xuat-thuong-mai-thiet-bi-nam-anh
MFR000510,NAM ANH,nam-anh
MFR000511,Công ty cổ phần Viettronics Tân Bình,cong-ty-co-phan-viettronics-tan-binh
MFR000512,CÔNG TY CỔ PHẦN LIÊN DOANH TLR,cong-ty-co-phan-lien-doanh-tlr
MFR000513,KHẨU TRANG,khau-trang
MFR000514,CÔNG TY TNHH VPC VIỆT NAM,cong-ty-tnhh-vpc-viet-nam
MFR000515,CTY TNHH CÔNG NGHỆ CAO SU VIỆT NAM,cty-tnhh-cong-nghe-cao-su-viet-nam
MFR000516,CTY TNHH TM DƯỢC PHẨM THIÊN THỦY,cty-tnhh-tm-duoc-pham-thien-thuy
MFR000517,DIANA UNICHARM,diana-unicharm
MFR000518,CSMEDI,csmedi
MFR000519,CÔNG TY CP DƯỢC PHẨM AGIMEXPHARM,cong-ty-cp-duoc-pham-agimexpharm
MFR000520,"Lusomedicamenta Sociedade Técnica Farmacêutica, S.A.",lusomedicamenta-sociedade-tecnica-farmaceutica-sa
MFR000521,MEKOPHAR,mekophar
MFR000522,CTY TNHH SHINPOONG DAEWOO,cty-tnhh-shinpoong-daewoo
MFR000523,CÔNG TY CỔ PHẦN DƯỢC HẬU GIANG,cong-ty-co-phan-duoc-hau-giang
MFR000524,CÔNG TY CP DƯỢC PHẨM NAM HÀ,cong-ty-cp-duoc-pham-nam-ha
MFR000525,STELLA,stella
MFR000526,FARMAPRIM LTD,farmaprim-ltd
MFR000527,CÔNG TY CỔ PHẦN DƯỢC PHẨM VCP,cong-ty-co-phan-duoc-pham-vcp
MFR000528,AN THIÊN,an-thien
MFR000529,CÔNG TY CỔ PHẦN DƯỢC PHẨM 3/2 (F.T.PHARMA),cong-ty-co-phan-duoc-pham-32-ftpharma
MFR000530,BVP,bvp
MFR000531,Boston,boston
MFR000532,Denk Pharma GmbH & Co. KG,denk-pharma-gmbh-and-co-kg
MFR000533,CÔNG TY CỔ PHẦN DƯỢC PHẨM IMEXPHARM,cong-ty-co-phan-duoc-pham-imexpharm
MFR000534,MEDOPHARM,medopharm
MFR000535,Công ty TNHH Abbott Healthcare Việt Nam,cong-ty-tnhh-abbott-healthcare-viet-nam
MFR000536,TIPHARCO,tipharco
MFR000537,IMEXPHARM,imexpharm
MFR000538,OPV,opv
MFR000539,COPHAVINA,cophavina
MFR000540,MEDIPHARCO,medipharco
MFR000541,CTY TNHH LIÊN DOANH MEYER-BPC,cty-tnhh-lien-doanh-meyer-bpc
MFR000542,TENAMYD,tenamyd
MFR000543,CÔNG TY CỔ PHẦN DƯỢC PHẨM TIPHARCO,cong-ty-co-phan-duoc-pham-tipharco
MFR000544,Công ty cổ phần dược phẩm Trung ương I - Pharbaco,cong-ty-co-phan-duoc-pham-trung-uong-i-pharbaco
MFR000545,CÔNG TY CPDP TIPHARCO,cong-ty-cpdp-tipharco
MFR000546,CÔNG TY CỔ PHẦN US PHARMA USA,cong-ty-co-phan-us-pharma-usa
MFR000547,KHAPHARCO,khapharco
MFR000548,ATABAY,atabay
MFR000549,"GLAXO OPERATIONS UK., LTD",glaxo-operations-uk-ltd
MFR000550,POLFA TARCHOMIN S.A,polfa-tarchomin-sa
MFR000551,CÔNG TY CỔ PHẦN DƯỢC PHẨM SAVI,cong-ty-co-phan-duoc-pham-savi
MFR000552,PHARMACEUTICAL WORK ADAMED PHARMA,pharmaceutical-work-adamed-pharma
MFR000553,CÔNG TY CỔ PHẦN DƯỢC PHẨM TRUNG ƯƠNG 1 - PHARBACO,cong-ty-co-phan-duoc-pham-trung-uong-1-pharbaco
MFR000554,STADA,stada
MFR000555,USP,usp
MFR000556,VIDIPHA,vidipha
MFR000557,Haupt Pharma Latina Srl,haupt-pharma-latina-srl
MFR000558,PYMEPHARCO,pymepharco
MFR000559,Uphace,uphace
MFR000560,Medexa,medexa
MFR000561,SAVI,savi
MFR000562,Vianex,vianex
MFR000563,DHG,dhg
MFR000564,Aesica Queenborough Ltd,aesica-queenborough-ltd
MFR000565,DOMESCO,domesco
MFR000566,PFIZER,pfizer
MFR000567,Bayer HealthCare Manufacturing S.r.l,bayer-healthcare-manufacturing-srl
MFR000568,SMITHKLINE BEECHAM PHARMACEUTICALS,smithkline-beecham-pharmaceuticals
MFR000569,GSK,gsk
MFR000570,Materia,materia
MFR000571,CÔNG TY CỔ PHẦN DƯỢC PHẦM NAM HÀ,cong-ty-co-phan-duoc-pham-nam-ha
MFR000572,CÔNG TY CP DƯỢC PHẨM QUẢNG BÌNH,cong-ty-cp-duoc-pham-quang-binh
MFR000573,MYLAN LABORATORIES LIMITED,mylan-laboratories-limited
MFR000574,SANOFI S.P.A,sanofi-spa
MFR000575,"STELLAPHARM J.V CO., LTD",stellapharm-jv-co-ltd
MFR000576,CTCP DƯỢC PHẨM TRUNG ƯƠNG 1 - PHARBACO,ctcp-duoc-pham-trung-uong-1-pharbaco
MFR000577,RV Lifesciences LIMITED,rv-lifesciences-limited
MFR000578,RELIV,reliv
MFR000579,"LABORATÓRIOS ATRAL, S.A.",laboratorios-atral-sa
MFR000580,MEDISUN,medisun
MFR000581,GILEAD,gilead
MFR000582,AGIMEX,agimex
MFR000583,ABBVIE,abbvie
MFR000584,MEIJI,meiji
MFR000585,DAVI,davi
MFR000586,CTCP DƯỢC PHẨM TRUNG ƯƠNG 1 PHARBACO,ctcp-duoc-pham-trung-uong-1-pharbaco
MFR000587,KUSUM HEALTHCARE,kusum-healthcare
MFR000588,REMEDINA S.A. - HY LẠP,remedina-sa-hy-lap
MFR000589,NATCO PHARMA LTD.,natco-pharma-ltd
MFR000590,Brawn Laboratories Ltd,brawn-laboratories-ltd
MFR000591,PHARMACEUTICAL WORKS POLPHARMA S.A.,pharmaceutical-works-polpharma-sa
MFR000592,Glaxo Wellcome Production,glaxo-wellcome-production
MFR000593,Công ty TNHH Liên Doanh Stellapharm - Chi nhánh 1,cong-ty-tnhh-lien-doanh-stellapharm-chi-nhanh-1
MFR000594,CÔNG TY CP LIÊN DOANH DƯỢC PHẨM ELOGE FRANCE VIỆT NAM,cong-ty-cp-lien-doanh-duoc-pham-eloge-france-viet-nam
MFR000595,CÔNG TY CỔ PHẦN DƯỢC PHẨM TV. PHARM,cong-ty-co-phan-duoc-pham-tv-pharm
MFR000596,Công ty TNHH dược phẩm BV Pharma,cong-ty-tnhh-duoc-pham-bv-pharma
MFR000597,Genuone Sciences Inc,genuone-sciences-inc
MFR000598,ZYDUS LIFESCIENCES LIMITED,zydus-lifesciences-limited
MFR000599,CÔNG TY CỔ PHẦN DƯỢC PHẨM OPV,cong-ty-co-phan-duoc-pham-opv
MFR000600,CÔNG TY TNHH SINH DƯỢC PHẨM HERA,cong-ty-tnhh-sinh-duoc-pham-hera
MFR000601,CÔNG TY TNHH LIÊN DOANH STELLAPHARM,cong-ty-tnhh-lien-doanh-stellapharm
MFR000602,CÔNG TY LIÊN DOANH MEYER-BPC,cong-ty-lien-doanh-meyer-bpc
MFR000603,CÔNG TY CỔ PHẦN DƯỢC PHẨM HÀ TÂY,cong-ty-co-phan-duoc-pham-ha-tay
MFR000604,CÔNG TY CP TẬP ĐOÀN MERAP,cong-ty-cp-tap-doan-merap
MFR000605,VIDIPHAR,vidiphar
MFR000606,DAVIPHARM,davipharm
MFR000607,S.C. ANTIBIOTICE S.A,sc-antibiotice-sa
MFR000608,Rivopharm SA,rivopharm-sa
MFR000609,MEDIPLATEX,mediplatex
MFR000610,CÔNG TY CỔ PHẨN US PHARMA USA,cong-ty-co-phan-us-pharma-usa
MFR000611,CÔNG TY CỔ PHẦN DƯỢC PHẨM HÀ TÂY - VIỆT NAM,cong-ty-co-phan-duoc-pham-ha-tay-viet-nam
MFR000612,Công ty TNHH một thành viên dược phẩm 150 Cophavina,cong-ty-tnhh-mot-thanh-vien-duoc-pham-150-cophavina
MFR000613,"BLUEPHARMA INDUSTRIA FARMACEUTICAL, S.A.",bluepharma-industria-farmaceutical-sa
MFR000614,CÔNG TY LIÊN DOANH MEYER- BPC,cong-ty-lien-doanh-meyer-bpc
MFR000615,MEBIPHAR,mebiphar
MFR000616,INCEPTA PHARLACEUTICAL,incepta-pharlaceutical
MFR000617,CÔNG TY CPDP T.Ư VIDIPHA TỈNH BÌNH DƯƠNG,cong-ty-cpdp-tu-vidipha-tinh-binh-duong
MFR000618,CÔNG TY CỔ PHẦN HÓA - DƯỢC PHẨM MEKOPHAR,cong-ty-co-phan-hoa-duoc-pham-mekophar
MFR000619,CÔNG TY CỔ PHẦN DƯỢC PHẨM TRUNG ƯƠNG VIDIPHA,cong-ty-co-phan-duoc-pham-trung-uong-vidipha
MFR000620,Tedec-Meiji Farma,tedec-meiji-farma
MFR000621,CTY CỔ PHẦN TẬP ĐOÀN MERAP,cty-co-phan-tap-doan-merap
MFR000622,GETZ,getz
MFR000623,HÀ TÂY,ha-tay
MFR000624,SHINPOONG,shinpoong
MFR000625,MEDOCHEMIE LTD - CENTRAL FACTORY,medochemie-ltd-central-factory
MFR000626,ACS Dobfar S.p.A,acs-dobfar-spa
MFR000627,VIANEX S.A,vianex-sa
MFR000628,Bilim Ilac Sanayii Ve Ticaret AS,bilim-ilac-sanayii-ve-ticaret-as
MFR000629,CÔNG TY CỔ PHẦN HÓA-DƯỢC PHẨM MEKOPHAR,cong-ty-co-phan-hoa-duoc-pham-mekophar
MFR000630,"LABORATORIOS SALVAT, S.A.",laboratorios-salvat-sa
MFR000631,Minh Hải,minh-hai
MFR000632,Bilim,bilim
MFR000633,Amvi,amvi
MFR000634,Chi nhánh công ty cổ phần dược phẩm Trung ương Vidipha Bình Dương,chi-nhanh-cong-ty-co-phan-duoc-pham-trung-uong-vidipha-binh-duong
MFR000635,CÔNG TY CỔ PHẦN PYMEPHARCO,cong-ty-co-phan-pymepharco
MFR000636,CÔNG TY CỔ PHẦN DƯỢC PHẨM CỬU LONG,cong-ty-co-phan-duoc-pham-cuu-long
MFR000637,CTY CP DƯỢC PHẨM AGIMEXPHARM,cty-cp-duoc-pham-agimexpharm
MFR000638,DƯỢC HẬU GIANG,duoc-hau-giang
MFR000639,HẬU GIANG,hau-giang
MFR000640,Công ty cổ phần dược phẩm trung ương 1 - Pharbaco.,cong-ty-co-phan-duoc-pham-trung-uong-1-pharbaco
MFR000641,USA-NIC,usa-nic
MFR000642,SANDOZ GMBH,sandoz-gmbh
MFR000643,DELPHARM,delpharm
MFR000644,ATRA PHARMACEUTICALS. LTD,atra-pharmaceuticals-ltd
MFR000645,US PHARMA,us-pharma
MFR000646,CTY CP XNK Y TẾ DOMESCO,cty-cp-xnk-y-te-domesco
MFR000647,CÔNG TY CỔ PHẦN DƯỢC PHẨM CỬU LONG (PHARIMEXCO),cong-ty-co-phan-duoc-pham-cuu-long-pharimexco
MFR000648,HETERO LABS,hetero-labs
MFR000649,"PHARMATHEN S.A.,",pharmathen-sa
MFR000650,Pharmathen S.A,pharmathen-sa
MFR000651,CÔNG TY CP US PHARMA USA,cong-ty-cp-us-pharma-usa
MFR000652,NOBEL ILAC SANAYII VE TICARET A.S. - THỔ NHĨ KỲ,nobel-ilac-sanayii-ve-ticaret-as-tho-nhi-ky
MFR000653,SANTA FARMA ILAC SANAYII A.S. – TURKEY,santa-farma-ilac-sanayii-as-turkey
MFR000654,XÍ NGHIỆP DƯỢC PHẨM 150 (COPHAVINA),xi-nghiep-duoc-pham-150-cophavina
MFR000655,"INCEPTA PHARMACEUTICAL., LTD - BĂNG LA ĐÉT",incepta-pharmaceutical-ltd-bang-la-det
MFR000656,CTCP DƯỢC PHẨM TRUNG ƯƠNG I - PHARBACO,ctcp-duoc-pham-trung-uong-i-pharbaco
MFR000657,CÔNG TY CỔ PHẦN DƯỢC PHẨM AN THIÊN – VIỆT NAM,cong-ty-co-phan-duoc-pham-an-thien-viet-nam
MFR000658,VINPHACO,vinphaco
MFR000659,DHG PHARMA,dhg-pharma
MFR000660,Interthai Pharm,interthai-pharm
MFR000661,CTY CP DP ĐỒNG NAI,cty-cp-dp-dong-nai
MFR000662,CÔNG TY CỔ PHẦN DƯỢC PHẨM TRUNG ƯƠNG 2,cong-ty-co-phan-duoc-pham-trung-uong-2
MFR000663,BRUSCHETTINI S.R.L,bruschettini-srl
MFR000664,CÔNG TY CỔ PHẦN DƯỢC PHẨM MEDISUN,cong-ty-co-phan-duoc-pham-medisun
MFR000665,EUVIPHARM,euvipharm
MFR000666,TRUNG ƯƠNG 1 - PHARBACO,trung-uong-1-pharbaco
MFR000667,HETERO LABS LIMITED,hetero-labs-limited
MFR000668,CÔNG TY CỔ PHẦN DƯỢC PHẨM AGIMEXPHARM,cong-ty-co-phan-duoc-pham-agimexpharm
MFR000669,CÔNG TY TNHH DƯỢC PHẨM GLOMED,cong-ty-tnhh-duoc-pham-glomed
MFR000670,GLENMARK,glenmark
MFR000671,Công ty Cổ phần Trust Farma Quốc tế,cong-ty-co-phan-trust-farma-quoc-te
MFR000672,CTY CP DP PHONG PHÚ - CN NHÀ MÁY USARICHPHARM,cty-cp-dp-phong-phu-cn-nha-may-usarichpharm
MFR000673,STELLAPHARM,stellapharm
MFR000674,CÔNG TY CỔ PHẦN DƯỢC PHẨM TW1( PHARBACO) - VIỆT NAM,cong-ty-co-phan-duoc-pham-tw1-pharbaco-viet-nam
MFR000675,PHARBACO,pharbaco
MFR000676,CÔNG TY CỔ PHẦN DƯỢC APIMED,cong-ty-co-phan-duoc-apimed
MFR000677,CÔNG TY CỔ PHẦN DƯỢC PHẨM KHÁNH HÒA,cong-ty-co-phan-duoc-pham-khanh-hoa
MFR000678,Santa Farma Ilac Sanayii A.S.,santa-farma-ilac-sanayii-as
MFR000679,GLOMED,glomed
MFR000680,HASAN,hasan
MFR000681,MICRO,micro
MFR000682,CÔNG TY CỔ PHẦN DƯỢC PHẨM BOSTON VIỆT NAM,cong-ty-co-phan-duoc-pham-boston-viet-nam
MFR000683,PHIL,phil
MFR000684,MEYER - BPC,meyer-bpc
MFR000685,NHÀ MÁY SẢN XUẤT DƯỢC PHẨM USARICHPHARM,nha-may-san-xuat-duoc-pham-usarichpharm
MFR000686,CÔNG TY CPDP PHƯƠNG ĐÔNG,cong-ty-cpdp-phuong-dong
MFR000687,CÔNG TY CP SX-TM DƯỢC PHẨM ĐÔNG NAM,cong-ty-cp-sx-tm-duoc-pham-dong-nam
MFR000688,CÔNG TY CỔ PHẦN SPM,cong-ty-co-phan-spm
MFR000689,CTY CPDL PHARMEDIC,cty-cpdl-pharmedic
MFR000690,Công ty cổ phần Dược phẩm TV.Pharm,cong-ty-co-phan-duoc-pham-tvpharm
MFR000691,CÔNG TY CỔ PHẦN DƯỢC PHẨM IMEXPHARM - VIỆT NAM,cong-ty-co-phan-duoc-pham-imexpharm-viet-nam
MFR000692,CÔNG TY LIÊN DOANH DƯỢC PHẨM ELOGE FRANCE VIỆT NAM - VIỆT NAM,cong-ty-lien-doanh-duoc-pham-eloge-france-viet-nam-viet-nam
MFR000693,"INDUSTRIA QUIMICA Y FARMACEUTICA VIR, S.A. - TÂY BAN NHA",industria-quimica-y-farmaceutica-vir-sa-tay-ban-nha
MFR000694,CÔNG TY CỔ PHẦN DƯỢC PHẨM GLOMED VIỆT NAM,cong-ty-co-phan-duoc-pham-glomed-viet-nam
MFR000695,BIDIPHAR,bidiphar
MFR000696,TARCHOMIN PHARMACEUTICAL WORKS POLFA S.A - BA LAN,tarchomin-pharmaceutical-works-polfa-sa-ba-lan
MFR000697,QUAPHARCO,quapharco
MFR000698,CÔNG TY TNHH US PHARMA USA,cong-ty-tnhh-us-pharma-usa
MFR000699,INCEPTA PHARMACEUTICALS LTD,incepta-pharmaceuticals-ltd
MFR000700,CÔNG TY TNHH MTV DƯỢC PHẨM DHG,cong-ty-tnhh-mtv-duoc-pham-dhg
MFR000701,MAXIM PHARMACEUTICALS PVT. LTD,maxim-pharmaceuticals-pvt-ltd
MFR000702,CÔNG TY CỔ PHẦN DƯỢC HẬU GIANG (DHG),cong-ty-co-phan-duoc-hau-giang-dhg
MFR000703,CÔNG TY CỔ PHẦN SPM - VIỆT NAM,cong-ty-co-phan-spm-viet-nam
MFR000704,APC PHARMACEUTICALS & CHEMICAL LIMITED,apc-pharmaceuticals-and-chemical-limited
MFR000705,SwissCo Services AG,swissco-services-ag
MFR000706,Gland Pharma Limited,gland-pharma-limited
MFR000707,Spm,spm
MFR000708,CÔNG TY CỐ PHẦN DƯỢC - TRANG THIẾT BỊ Y TẾ BÌNH ĐỊNH (BIDIPHAR),cong-ty-co-phan-duoc-trang-thiet-bi-y-te-binh-dinh-bidiphar
MFR000709,TRUNG ƯƠNG 2,trung-uong-2
